TMP_AR,TMP_EN,CENTER,Q233,Q244,Q256,Q326,GENDER,ACACDEMIC_LEVEL,NATIONALITY,SECTOR,Dim1.1,Dim1.2,Dim2.1,Dim2.2,Dim2.3,Dim3.1,Dim3.2,Dim3.3,Dim3.4,Dim3.5,Dim3.6,Dim3.7,Dim3.8,Dim4.1,Dim4.2,Dim4.3,Dim4.4,Dim4.5,Dim4.6,Dim4.7,Dim4.8,Dim4.9,Dim4.10,Dim4.11,Dim4.12,Dim5.1,Dim5.2,Dim5.3,Dim6.1,Dim6.2,NPS,Unnamed: 42,Most_Unsat,Most_Sat,SERVICE
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,2.0,2,5,3,1,5,5,4,4,4,4,4,4,4,4,4,4,4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,10.0,,لايوجد,تعامل الموظفين,Q326_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,2.0,2,5,3,1,4,4,4,4,4,4,4,4,5,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,2.0,5.0,4.0,4.0,4.0,5.0,3.0,10.0,,يرجى تخفيض الرسوم او تكون رسوم ميسرة  خاصه تكلفه طلب الاسترحام في المحاكم بشكل عام ،  في حال احد رفع دعوة اقوم انا بدفع رسوم كامدعى عليه لماذا أدفع,تعاملهم,Q326_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,1.0,1,7,1,1,5,5,5,5,5,5,5,4,5,4,4,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,10.0,,لايوجد,سرعه الانجاز والتعامل,Q326_1
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,2.0,1,7,3,1,4,3,3,3,5,3,5,5,5,5,5,5,4,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,9.0,,،,تعامل الموظف و سرعه المساعده,Q326_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,2.0,2,5,1,1,4,4,4,4,4,3,4,4,5,4,4,4,4,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,10.0,,عدم السماح للدخول للباركنات الداخليه بالسياره فقط للنزول خاصه انني مريضه,بارك الله فيكم,Q326_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,1.0,2,7,3,1,5,5,5,5,5,5,5,5,5,5,5,4,4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,,لاشي,الاستقبال والمعامله,Q326_1
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,1.0,1,7,3,1,4,3,5,4,5,3,5,4,5,5,5,5,5,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,,لايوجد,لطف الموظفيين,Q326_1
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,2.0,1,7,3,1,4,4,5,4,4,4,5,5,5,4,4,4,4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,4.0,4.0,3.0,4.0,9.0,,السماح بالحصول على ورقه عدم عمل مع العلم انه اقامتي حروب وكوارث لكن بالهوية مذكورة مهنه بشكل شكلي حيث انني لا أعمل وأحتاج الورقه للتقديم للجمعيات الخيريه بسبب وضعي,تعامل الموظفيين,Q326_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,1.0,2,7,3,1,4,4,4,4,4,3,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,9.0,,.,.,Q326_1
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,2.0,2,8,1,1,4,4,5,5,5,5,5,5,5,5,5,5,5,5.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,4.0,5.0,9.0,,تسهيل بعض المتطلبات التي يصعب توفيرها كا معاملات إثبات سكن  وبعض الرسوم تكون عاليه لبعض الأشخاصحسب وضعهم المادي  يرجى النظر فيها للتيسير,التعامل جيد,Q326_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,3.0,1,8,1,1,4,4,5,3,4,3,4,4,5,4,5,5,4,5.0,5.0,5.0,5.0,2.0,4.0,3.0,3.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,2.0,8.0,,طلب أوراق يمكن الاستغناء عنها,،,Q326_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,4.0,2,7,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,,Nothing,Thierry services and kindness approach,Q326_4
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,4.0,1,7,4,1,3,3,3,3,3,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,10.0,,",",.,Q326_4
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,4.0,2,7,4,1,3,4,5,5,5,5,5,5,5,5,5,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,,NOTHING,.,Q326_4
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,1.0,2,5,3,1,3,3,3,5,5,5,5,5,5,5,5,5,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,8.0,,لاشي,تعامل الموظفات,Q326_1
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,3.0,1,5,1,1,3,4,3,2,4,3,4,3,5,2,4,1,4,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,1.0,4.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,,الانتظار,الجو بارد,Q326_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,2.0,1,7,4,1,3,2,5,5,5,3,4,3,5,5,5,4,5,5.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,3.0,4.0,5.0,10.0,,It was hard because the agents on WhatsApp only spoke arabicbut I was able to use friends to communicate,I was able to ask questions over whatsapp,Q326_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,1.0,1,7,1,1,4,4,5,4,4,4,4,4,5,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,10.0,,الباركنات فيها مشكله مزدحمه,تعامل بشكل عام وسرعه في الانجاز,Q326_1
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,2.0,2,7,1,3,4,4,4,1,4,2,3,3,5,4,2,4,4,5.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,7.0,,عدم توفر الخدمه اون لاين ( طلب شهاده عدم زواج).. الباركنات بعيده ومتعبه ، الوقت الطويل أثناء انتظار القاضي ، يرجى توفير شفت مسائي,تعامل الموظفات، توفر خدمه واتس اب,Q326_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,4.0,1,5,1,1,4,4,4,1,4,3,3,4,5,4,3,5,4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,,الباركنات صعبه,تعامل الموظفين,Q326_4
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,1.0,2,7,1,1,5,5,5,1,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,9.0,,الباركنات,تعامل الموظفين، يرجى توفير شفت مسائي,Q326_1
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,1.0,2,7,3,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,10.0,,لايوجد جزاهم الله خير,تعامل الموظفيين,Q326_1
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,1.0,1,5,3,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,10.0,,لايوجد,تعاملهم بشكل عام,Q326_1
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,3.0,1,7,3,3,4,4,4,3,5,4,5,4,5,5,4,4,5,5.0,4.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,9.0,,لا شئ,قسم الكاتب العدل,Q326_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,1.0,2,7,3,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,10.0,,لايوجد,الموظفيين,Q326_1
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,2.0,1,5,1,1,4,4,4,4,4,3,5,4,4,5,5,5,4,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,10.0,,لايوجد,التعامل طيب,Q326_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,2.0,2,5,3,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,10.0,,لايوجد,التعامل,Q326_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,3.0,1,5,1,1,2,4,3,1,4,3,4,3,4,4,4,3,3,4.0,2.0,3.0,1.0,1.0,5.0,3.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,5.0,,لاشي,استماع لي أراء الناس وتعديل السلبيات,Q326_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,3.0,1,7,1,1,4,4,4,1,4,3,4,3,5,3,4,1,3,4.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,5.0,1.0,4.0,4.0,3.0,3.0,3.0,3.0,8.0,,الرسوم مبالغ فيها تقرير طبي ??? درهم. الإجراءات معقده بعض الشي في قسم المواريث، عدم توفر مصلى,تعاملهم,Q326_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,4.0,1,5,1,1,4,4,5,2,5,4,5,3,4,4,4,4,4,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,9.0,,لايوجد بارك الله فيكم,تعامل الموظفيين,Q326_4
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,3.0,2,5,1,1,5,5,4,4,4,3,5,4,5,4,5,5,3,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,4.0,3.0,4.0,4.0,4.0,9.0,,انطالب بتقليل الرسوم ، باركنات صعبه ،تحديث مكينات الدفع,تعامل الموظفين,Q326_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,2.0,2,5,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,8.0,,لايوجد,،,Q326_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,2.0,2,5,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,5.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,5.0,5.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,7.0,,،,،,Q326_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,1.0,1,7,3,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,,لا شي,سرعة الاستجابة و الانجاز,Q326_1
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,2.0,2,7,1,1,4,4,4,3,5,4,5,4,5,5,3,4,4,5.0,3.0,4.0,4.0,3.0,2.0,4.0,3.0,3.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,7.0,,.,.,Q326_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,2.0,2,5,1,1,4,4,3,4,4,4,4,3,5,4,4,2,4,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,2.0,5.0,4.0,4.0,4.0,4.0,4.0,9.0,,الرسوم.  والانتظار اثناء اجراء الخدمة  ، والباركنات,،,Q326_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,2.0,2,5,3,1,4,4,3,3,2,4,5,4,4,4,5,1,4,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,2.0,3.0,4.0,5.0,4.0,5.0,4.0,5.0,,و لا شيء,كل شي تمام,Q326_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,1.0,1,7,3,1,5,4,5,4,5,4,5,4,5,5,5,5,5,5.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,,لايوجد. لكن لاتوجد خدمه شحن الاجهزة,كل شي ممتاز,Q326_1
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,3.0,2,7,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,9.0,,تخفيض نسبه رسوم مطالبة الحقوق ، تحديد نسبه رسوم المحامى ضبط الموضوع ، تعديل بعض قوانين الحقوق حيث بعضها تسقط بمرور الوقت وهذا يضيع الحقوق، توفير قضاة تركات حيث عددهم قليل ،,،,Q326_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,2.0,2,5,1,1,4,4,4,4,4,3,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,8.0,,الباركنات ، الرسوم مبالغ فيها,تعاملهم,Q326_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,2.0,1,5,1,1,4,4,5,2,5,3,5,4,5,4,4,3,3,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,9.0,,باركنات,،,Q326_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,4.0,1,7,1,1,5,5,5,5,5,3,4,4,5,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,10.0,,لايوجد,تعامل الموظفيين والسرعه في الانجاز,Q326_4
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,2.0,1,5,1,1,4,4,4,4,4,4,5,4,5,4,4,2,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,9.0,,لايوجد,تعامل الموظفات,Q326_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,2.0,2,5,3,1,4,4,4,4,4,4,4,4,4,4,4,3,3,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,8.0,,.,.,Q326_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,2.0,2,5,1,1,4,4,4,4,4,4,4,4,4,4,4,5,4,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,8.0,,لايوجد,تعامل الموظفيين,Q326_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,3.0,2,5,1,1,3,3,5,4,4,3,5,5,5,5,5,5,5,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,1.0,1.0,8.0,,تعقيد معاملات حصر الإرث،  اختلاف المتطلبات بين إمارة وامارة بين راس الخيمه وابوظبي ، طلب القاضي لمستتدات معينه وعند توفيرها لا تستخدم او يطلب غيرها ، تسهيل الأمور للأرامل والايتام في إجراءات التركه خاصه عندما تحدث اكثر من وفاة فا تتعقد الأمور وتدخل ناس جديده في الإرث مما يزيد الأمر تعقيد وصعوبه,تعامل الموظفيين,Q326_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,2.0,2,7,4,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,,Nothing wrong happened,Everything is good and quick,Q326_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,4.0,2,8,1,1,5,5,5,1,5,5,4,5,5,5,5,2,5,5.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,9.0,,مواقف السيارات بعيدة ومزدحمة,المعاملة طيبة والموظفات لديهم إيجابية,Q326_4
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,2.0,1,5,1,1,5,5,5,2,5,4,4,3,5,4,5,4,5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,9.0,,مواقف السيارات مزدحم وأرجو إيجاد مواقف أخرى تكون أقرب للمركز,الاهتمام براحة العميل,Q326_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,4.0,1,5,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,10.0,,طلب خلاصه القيد في عقود الزواج ليس لها حاجه يرجى العمل على إلغاء الطلب، الباركنات الداخليه والخارجيه مزدحمه,تعامل الموظفيين,Q326_4
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,2.0,1,8,3,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,,لايوجد,أزور المركز كثيرا واسعد بإنجاز المعاملات سريعا,Q326_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,4.0,1,7,3,3,4,4,4,4,4,4,4,4,4,4,3,3,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,8.0,,Waiting time,Issue solving,Q326_4
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,4.0,2,5,5,1,4,4,4,4,4,4,4,4,4,4,4,3,4,4.0,3.0,4.0,5.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,7.0,,Not concerned,Not concerned,Q326_4
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,3.0,1,7,1,1,5,5,3,5,5,5,4,5,3,5,5,5,5,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,,لا يوجد,المساعدة والانجاز,Q326_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,2.0,1,7,1,1,4,4,4,4,4,4,4,4,5,4,5,3,5,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,,التأخير في انجاز والنظر في القضايا حيث اننا شهود ونتظر القاضي,التعاون,Q326_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,2.0,1,5,1,2,5,4,4,4,4,5,5,4,5,5,4,4,4,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,9.0,,Nothing,Customer services,Q326_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,4.0,1,8,4,1,4,4,4,4,4,4,4,5,4,5,4,4,4,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,8.0,,A littleslow,Service,Q326_4
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,4.0,2,8,4,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,,Little bet slow,The happiness customer,Q326_4
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,4.0,2,5,4,1,4,4,3,4,4,4,4,5,5,5,5,3,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,8.0,,Long time to finish and take the contract,The respective,Q326_4
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,5.0,1,7,1,1,5,5,5,2,5,4,4,4,4,4,5,4,4,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,9.0,,مواقف السيارات بدون مظلات,وجود موظفي الاستقبال وخدمة العملاء,Q326_5
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,3.0,1,7,3,3,4,5,4,4,4,4,5,4,5,5,5,4,5,4.0,4.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,10.0,,لايوجد,كل شي فوق الممتاز,Q326_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,1.0,1,8,3,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,,لا شئ,المعاملة الطيبة,Q326_1
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,3.0,2,8,1,1,1,1,1,1,5,5,5,4,5,5,5,4,4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,8.0,,في البدايه كانت هناك سوء فهم من موظفين خدمة العملاء وايضا عدم وجود مظلات بمواقف السيارات,اني انتهيت من انجاز معاملتي,Q326_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,1.0,1,8,3,1,4,4,4,4,4,4,4,4,4,5,5,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,,لايوجد,المعاملة,Q326_1
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,3.0,2,5,3,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,,لايوجد,تعاون الموظفين,Q326_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,3.0,1,7,1,1,5,5,3,4,4,5,4,5,4,5,4,4,4,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,7.0,,ضيق المكان فيرجى توسعة في المركز ويوجد مظلات في المواقف,التعامل الراقي,Q326_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,3.0,1,7,1,1,5,5,5,1,5,5,5,5,5,3,5,5,5,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,7.0,,الانتظار الطويل والرسوم العالية عن المعقول,انجاز معامتي بعد طول انتظار,Q326_3
